time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,25,8,0,0
2026-06-16 00:00:00+00:00,7,2,1,1
2026-06-17 00:00:00+00:00,20,7,0,0
2026-06-18 00:00:00+00:00,9,4,0,0
2026-06-19 00:00:00+00:00,38,9,0,0
2026-06-20 00:00:00+00:00,44,10,0,0
2026-06-21 00:00:00+00:00,24,5,0,0
2026-06-22 00:00:00+00:00,48,14,1,1
2026-06-23 00:00:00+00:00,28,8,0,0
2026-06-24 00:00:00+00:00,8,3,0,0
2026-06-25 00:00:00+00:00,34,10,0,0
2026-06-26 00:00:00+00:00,22,8,0,0
2026-06-27 00:00:00+00:00,13,4,0,0
2026-06-28 00:00:00+00:00,1,1,0,0
