time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-21 00:00:00+00:00,0,0,2,1
2024-07-25 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,1,1,0,0
2024-07-28 00:00:00+00:00,0,0,27,2
2024-07-30 00:00:00+00:00,0,0,16,4
2024-07-31 00:00:00+00:00,3,3,24,2
2024-08-01 00:00:00+00:00,0,0,15,1
2024-08-02 00:00:00+00:00,3,2,6,2
2024-08-03 00:00:00+00:00,0,0,2,1
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,2,2,0,0
2024-08-06 00:00:00+00:00,0,0,14,2
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,2,1,0,0
2024-08-10 00:00:00+00:00,0,0,10,1
2024-08-12 00:00:00+00:00,0,0,4,2
2024-08-14 00:00:00+00:00,0,0,20,4
2024-08-15 00:00:00+00:00,0,0,1,1
2024-08-16 00:00:00+00:00,3,2,0,0
2024-08-17 00:00:00+00:00,4,1,1,1
2024-08-18 00:00:00+00:00,1,1,42,2
2024-08-19 00:00:00+00:00,4,4,0,0
2024-08-20 00:00:00+00:00,0,0,17,2
2024-08-21 00:00:00+00:00,0,0,2,1
2024-08-22 00:00:00+00:00,0,0,5,1
